Tahun;Bulan;Negara_Asal;Supplier;Jumlah_Ton;Hari_Keterlambatan;Tahap_Keterlambatan;Kelengkapan_Dokumen_Lengkap/Tidak_Lengkap;Durasi_Klarifikasi_Dokumen_Hari;Durasi_Bea_Cukai_Hari;Status_Monitoring_Terdeteksi/Tidak_Terdeteksi;Estimasi_Keterlambatan_Awal_Hari;Deviasi_Estimasi_Hari;Dampak_Produksi_Ringan/Sedang/Berat;Alasan_Keterlambatan;Skor_Keterlambatan;Skor_Bea_Cukai;Skor_Dokumen;Skor_Monitoring;Skor_Deviasi;Skor_Klarifikasi;Risk_Score_Mentah;Risk_Score_100;Kategori_Risiko
2020;1;China;TENDENCY INTERNATIONAL CO., LIMITED;3975;25;Inland;Lengkap;3;1;Tidak Terdeteksi;24;1;Sedang;Kemacetan distribusi ke pabrik;2;1;0;2;1;1;1.00;38.46;Low
2020;1;Vietnam;Shandong Lantian New Material Technology Co.,Ltd.;8111;12;Shipping;Lengkap;16;9;Terdeteksi;8;4;Ringan;Kemacetan distribusi ke pabrik;1;2;0;0;1;3;0.95;36.54;Low
2020;1;China;Shandong Lantian New Material Technology Co.,Ltd.;3504;5;Customs;Lengkap;12;21;Terdeteksi;11;-6;Ringan;Pemeriksaan bea cukai lebih ketat;1;3;0;0;1;3;1.10;42.31;Low
2020;1;China;TENDENCY INTERNATIONAL CO., LIMITED;8896;42;Inland;Tidak Lengkap;13;7;Tidak Terdeteksi;15;27;Sedang;Kemacetan distribusi ke pabrik;3;2;2;2;3;3;2.45;94.23;High
2020;2;China;TENDENCY INTERNATIONAL CO., LIMITED;5853;16;Shipping;Lengkap;2;4;Terdeteksi;5;11;Ringan;Penundaan akibat cuaca ekstrem;2;1;0;0;3;1;1.10;42.31;Low
2020;2;Vietnam;Shandong Lantian New Material Technology Co.,Ltd.;7095;21;Shipping;Lengkap;13;9;Tidak Terdeteksi;11;10;Sedang;Cuaca buruk menghambat pengiriman;2;2;0;2;2;3;1.50;57.69;Medium
2020;2;China;TENDENCY INTERNATIONAL CO., LIMITED;8151;99;Shipping;Tidak Lengkap;6;17;Tidak Terdeteksi;25;74;Berat;Kapal mengalami perubahan jadwal keberangkatan;3;3;2;2;3;2;2.50;96.15;High
2020;2;Vietnam;Shandong Lantian New Material Technology Co.,Ltd.;8687;2;Shipping;Lengkap;6;20;Terdeteksi;13;-11;Sedang;Kepadatan kontainer di terminal;1;3;0;0;1;2;1.00;38.46;Low
2020;2;China;TENDENCY INTERNATIONAL CO., LIMITED;3733;11;Customs;Lengkap;12;20;Terdeteksi;7;4;Ringan;Gangguan sistem pelabuhan;1;3;0;0;1;3;1.10;42.31;Low
2020;3;Vietnam;Shandong Lantian New Material Technology Co.,Ltd.;4100;49;Shipping;Lengkap;1;2;Terdeteksi;22;27;Sedang;Kapal mengalami perubahan jadwal keberangkatan;3;1;0;0;3;1;1.30;50.00;Medium
2020;3;Vietnam;Shandong Lantian New Material Technology Co.,Ltd.;5857;40;Inland;Lengkap;2;3;Terdeteksi;15;25;Berat;Kemacetan distribusi ke pabrik;3;1;0;0;3;1;1.30;50.00;Medium
2020;3;Vietnam;Shandong Lantian New Material Technology Co.,Ltd.;5715;5;Shipping;Lengkap;3;5;Terdeteksi;2;3;Sedang;Penundaan akibat cuaca ekstrem;1;2;0;0;1;1;0.75;28.85;Low
2020;3;Vietnam;Shandong Lantian New Material Technology Co.,Ltd.;3788;6;Port;Lengkap;11;22;Terdeteksi;5;1;Ringan;Dokumen impor perlu klarifikasi tambahan;1;3;0;0;1;3;1.10;42.31;Low
2020;4;China;TENDENCY INTERNATIONAL CO., LIMITED;2767;67;Inland;Lengkap;3;5;Tidak Terdeteksi;23;44;Berat;Keterbatasan kendaraan pengangkut;3;2;0;2;3;1;1.65;63.46;Medium
2020;4;Vietnam;Shandong Lantian New Material Technology Co.,Ltd.;3309;0;Shipping;Lengkap;0;3;Terdeteksi;0;0;Sedang;Kapal mengalami perubahan jadwal keberangkatan;1;1;0;0;1;1;0.60;23.08;Low
2020;4;China;TENDENCY INTERNATIONAL CO., LIMITED;3203;17;Kuota Impor;Lengkap;3;5;Terdeteksi;9;8;Sedang;Kuota impor sementara habis;2;2;0;0;2;1;1.10;42.31;Low
2020;4;China;TENDENCY INTERNATIONAL CO., LIMITED;4466;49;Kuota Impor;Lengkap;2;5;Tidak Terdeteksi;13;36;Berat;Perubahan regulasi kuota baja;3;2;0;2;3;1;1.65;63.46;Medium
2020;4;Vietnam;Shandong Lantian New Material Technology Co.,Ltd.;4053;29;Kuota Impor;Tidak Lengkap;1;4;Terdeteksi;13;16;Sedang;Perubahan regulasi kuota baja;2;1;2;0;3;1;1.70;65.38;Medium
2020;4;Vietnam;TENDENCY INTERNATIONAL CO., LIMITED;8729;32;Port;Tidak Lengkap;14;7;Terdeteksi;22;10;Berat;Kemacetan distribusi ke pabrik;3;2;2;0;2;3;2.10;80.77;High
2020;4;China;TENDENCY INTERNATIONAL CO., LIMITED;5889;48;Port;Tidak Lengkap;8;9;Terdeteksi;18;30;Berat;Lonjakan volume impor musiman;3;2;2;0;3;3;2.25;86.54;High
2020;5;Vietnam;Shandong Lantian New Material Technology Co.,Ltd.;5783;31;Kuota Impor;Tidak Lengkap;2;5;Tidak Terdeteksi;22;9;Sedang;Kuota impor sementara habis;3;2;2;2;2;1;2.10;80.77;High
2020;5;China;Shandong Lantian New Material Technology Co.,Ltd.;7243;71;Port;Tidak Lengkap;12;16;Tidak Terdeteksi;38;33;Berat;Dokumen impor perlu klarifikasi tambahan;3;3;2;2;3;3;2.60;100.00;High
2020;6;Vietnam;Shandong Lantian New Material Technology Co.,Ltd.;2654;54;Shipping;Tidak Lengkap;3;5;Tidak Terdeteksi;12;42;Berat;Kapal mengalami perubahan jadwal keberangkatan;3;2;2;2;3;1;2.25;86.54;High
2020;6;China;Shandong Lantian New Material Technology Co.,Ltd.;6198;3;Customs;Lengkap;11;21;Terdeteksi;3;0;Ringan;Kepadatan kontainer di terminal;1;3;0;0;1;3;1.10;42.31;Low
2020;7;Vietnam;Shandong Lantian New Material Technology Co.,Ltd.;4729;117;Kuota Impor;Tidak Lengkap;1;2;Tidak Terdeteksi;18;99;Berat;Menunggu persetujuan tambahan kuota;3;1;2;2;3;1;2.10;80.77;High
2020;7;China;TENDENCY INTERNATIONAL CO., LIMITED;3647;9;Inland;Lengkap;1;4;Terdeteksi;11;-2;Ringan;Keterbatasan kendaraan pengangkut;1;1;0;0;1;1;0.60;23.08;Low
2020;8;China;TENDENCY INTERNATIONAL CO., LIMITED;2766;38;Inland;Tidak Lengkap;0;5;Terdeteksi;18;20;Berat;Keterlambatan armada trucking;3;2;2;0;3;1;2.05;78.85;High
2020;8;China;TENDENCY INTERNATIONAL CO., LIMITED;6296;23;Customs;Tidak Lengkap;16;12;Terdeteksi;21;2;Sedang;Kepadatan kontainer di terminal;2;3;2;0;1;3;1.90;73.08;High
2020;9;China;TENDENCY INTERNATIONAL CO., LIMITED;3154;20;Customs;Lengkap;3;4;Terdeteksi;7;13;Sedang;Dokumen impor perlu klarifikasi tambahan;2;1;0;0;3;1;1.10;42.31;Low
2020;9;Vietnam;Shandong Lantian New Material Technology Co.,Ltd.;3805;48;Inland;Tidak Lengkap;13;12;Tidak Terdeteksi;29;19;Sedang;Penahanan barang untuk inspeksi tambahan;3;3;2;2;3;3;2.60;100.00;High
2020;10;China;TENDENCY INTERNATIONAL CO., LIMITED;6578;104;Inland;Lengkap;11;17;Tidak Terdeteksi;45;59;Berat;Kemacetan distribusi ke pabrik;3;3;0;2;3;3;2.00;76.92;High
2020;11;Vietnam;Shandong Lantian New Material Technology Co.,Ltd.;5662;17;Inland;Lengkap;0;1;Terdeteksi;6;11;Ringan;Keterbatasan kendaraan pengangkut;2;1;0;0;3;1;1.10;42.31;Low
2020;11;China;TENDENCY INTERNATIONAL CO., LIMITED;3609;35;Kuota Impor;Tidak Lengkap;3;3;Terdeteksi;24;11;Sedang;Menunggu persetujuan tambahan kuota;3;1;2;0;3;1;1.90;73.08;High
2020;11;China;TENDENCY INTERNATIONAL CO., LIMITED;5654;7;Customs;Lengkap;10;4;Terdeteksi;13;-6;Sedang;Pemeriksaan fisik barang oleh bea cukai;1;1;0;0;1;3;0.80;30.77;Low
2020;11;China;TENDENCY INTERNATIONAL CO., LIMITED;4348;87;Customs;Tidak Lengkap;5;3;Tidak Terdeteksi;34;53;Berat;Dokumen impor perlu klarifikasi tambahan;3;1;2;2;3;2;2.20;84.62;High
2020;11;Vietnam;Shandong Lantian New Material Technology Co.,Ltd.;2788;32;Port;Lengkap;0;2;Tidak Terdeteksi;23;9;Berat;Kepadatan kontainer di terminal;3;1;0;2;2;1;1.35;51.92;Medium
2020;12;China;TENDENCY INTERNATIONAL CO., LIMITED;5863;6;Shipping;Lengkap;0;3;Terdeteksi;1;5;Sedang;Penundaan akibat cuaca ekstrem;1;1;0;0;1;1;0.60;23.08;Low
